Hello, Yes
assalam u alaikum, walikum salam
how are you, I am fine!
who are you, I am assistant of my Boss
https://www.jozeboy.com, https://www.blue.com/
poetry, one day you will miss me | but i will not be there
poet eng, one day you will miss me | but i will not be there
poet urdu, ab tho kuch bhi yaad nahin hai | hamne tumko chaha hoga
whats you want, Your time
be happy, Thank you!
thanks, Welcome!
tnx, Welcome!
i am sorry, not a problim
i love you, ❤
i hat you, same here (:
i hate you, same here (:
i am sad, why you are sad

